campaignuuid,userid,reqid,eventdate,event,zoneuuid,benefitunit,questionuuid,questionname,answer,questiontype,questionfieldtype,questionoptionselected,questionoptionuuid,questionoptionname,questionoptionsisanswer,year,month,day,hour
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900123,0,2020-08-02T21:34:25.571-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900124,0,2020-08-02T21:34:25.587-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900125,0,2020-08-02T21:34:25.367-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900126,0,2020-08-02T21:34:25.734-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900127,0,2020-08-02T21:34:25.722-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900128,0,2020-08-02T21:34:25.868-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900129,0,2020-08-02T21:34:25.944-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900130,0,2020-08-02T21:34:25.967-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900131,0,2020-08-02T21:34:25.998-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
,1221999900132,0,2020-08-02T21:34:26.029-03:00,campaign-pull-no-fill,5ed147e6-4758-11ea-89ec-0677896605d2,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900133,0,2020-08-02T21:34:26.145-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900134,0,2020-08-02T21:34:26.077-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900135,0,2020-08-02T21:34:26.306-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900136,0,2020-08-02T21:34:26.439-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900137,0,2020-08-02T21:34:26.610-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900138,0,2020-08-02T21:34:26.679-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900139,0,2020-08-02T21:34:26.730-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900140,0,2020-08-02T21:34:26.834-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900141,0,2020-08-02T21:34:26.883-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900142,0,2020-08-02T21:34:26.900-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900143,0,2020-08-02T21:34:27.044-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900144,0,2020-08-02T21:34:27.068-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900145,0,2020-08-02T21:34:27.062-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900146,0,2020-08-02T21:34:27.071-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900147,0,2020-08-02T21:34:27.191-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900148,0,2020-08-02T21:34:27.202-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900149,0,2020-08-02T21:34:27.227-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900150,0,2020-08-02T21:34:27.227-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900151,0,2020-08-02T21:34:27.383-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900152,0,2020-08-02T21:34:27.362-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900153,0,2020-08-02T21:34:27.527-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
